gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
ENPP7,-6.805028314,2.56319017,2.40E-129,4.28E-125,Down
ASAH2,-4.440697326,2.627809132,8.08E-122,7.19E-118,Down
SYNPO2L,-4.752291542,0.58444939,4.09E-107,2.43E-103,Down
MS4A10,-6.709508553,2.11084695,4.10E-99,1.83E-95,Down
FLG,-6.086686098,2.880209655,7.23E-98,2.57E-94,Down
S100G,-5.654979224,0.33698741,2.51E-96,7.43E-93,Down
KRT1,-5.897550125,1.566766846,1.90E-84,4.82E-81,Down
MEP1B,-5.864349864,3.290550298,8.78E-84,1.95E-80,Down
ENPP3,-4.385160539,1.469993911,1.35E-83,2.67E-80,Down
ALOX12,-3.328376971,1.983992834,4.83E-83,8.59E-80,Down
TREH,-3.975825384,1.850304817,2.90E-79,4.70E-76,Down
SLC28A1,-4.892573803,0.265532481,8.37E-78,1.24E-74,Down
CA7,-4.50325723,-0.655639854,1.72E-77,2.35E-74,Down
AQP10,-5.864279146,1.767578132,1.16E-74,1.48E-71,Down
CLEC3B,-3.5327181,2.054010946,2.03E-72,2.41E-69,Down
RBP2,-6.024717469,5.496728267,4.57E-69,5.08E-66,Down
ZG16,-5.503834028,2.411161751,8.05E-69,8.42E-66,Down
SLC2A5,-3.279262502,3.458330419,1.63E-67,1.61E-64,Down
SLC5A4,-3.337392958,-0.011531735,1.34E-65,1.26E-62,Down
EMP1,-3.198000686,8.010290065,1.10E-64,9.78E-62,Down
DPT,-3.994818058,2.5359356,3.61E-63,3.06E-60,Down
BEST4,-3.267531472,0.502978675,8.05E-62,6.51E-59,Down
CBR1,-2.193654559,5.369937151,4.26E-60,3.28E-57,Down
LCT,-5.522834327,2.348923002,4.42E-60,3.28E-57,Down
SLC25A34,-2.876536125,1.497309765,1.10E-56,7.86E-54,Down
NAALADL1,-3.048233932,2.973857256,1.26E-56,8.66E-54,Down
KHK,-2.715313894,3.147381148,7.27E-55,4.79E-52,Down
BNIPL,-3.976566358,1.810311317,1.15E-54,7.31E-52,Down
GPM6B,-2.799320576,3.282347692,1.44E-54,8.87E-52,Down
BTG2,-2.377655377,7.735672457,2.08E-54,1.23E-51,Down
GIP,-5.652566475,1.045160101,2.92E-54,1.68E-51,Down
SLC6A4,-3.786712437,1.335877711,4.69E-54,2.61E-51,Down
ACER1,-4.932347907,-0.022279266,5.22E-53,2.81E-50,Down
UNC45B,-3.912837502,-0.077945913,9.98E-53,5.22E-50,Down
GAST,-7.173989128,6.986482234,1.26E-52,6.42E-50,Down
PCK2,-2.261720497,5.748799175,7.59E-52,3.75E-49,Down
SLC2A7,-4.191674755,-2.303865445,3.34E-50,1.61E-47,Down
ZNF365,-3.705807696,1.054513746,7.21E-50,3.37E-47,Down
G6PC,-5.153455379,0.170943098,5.64E-49,2.57E-46,Down
GLTP,-1.852710918,5.752321026,7.08E-49,3.15E-46,Down
LYVE1,-2.925333116,3.057302998,8.41E-49,3.65E-46,Down
SLC51A,-2.594735376,2.213654056,1.31E-48,5.56E-46,Down
TTC36,-2.751631351,-1.887665273,2.26E-48,9.34E-46,Down
PPL,-3.426571169,7.736530252,6.34E-48,2.57E-45,Down
CFD,-2.919830353,5.720362093,6.92E-47,2.73E-44,Down
CSRNP1,-1.884748116,5.717803877,7.95E-47,3.07E-44,Down
MYOC,-5.119922165,3.395592384,1.83E-46,6.93E-44,Down
GADD45B,-2.221112317,5.46356134,2.41E-46,8.92E-44,Down
LGI3,-4.105710619,-0.069648646,6.13E-46,2.23E-43,Down
ASPDH,-2.761339144,-0.85977118,1.97E-45,7.02E-43,Down
APOA4,-6.675581101,5.934526263,7.96E-45,2.78E-42,Down
RAET1E,-3.620459936,-0.409603931,9.89E-45,3.38E-42,Down
VSIG10L,-3.396067278,4.246667726,4.77E-44,1.60E-41,Down
ENDOU,-4.770969968,1.845496769,8.38E-44,2.76E-41,Down
CMTM5,-3.678929469,-1.695072483,1.58E-43,5.11E-41,Down
ACE,-2.155415559,4.6817408,1.73E-43,5.50E-41,Down
MTTP,-4.627294908,4.845074861,2.45E-43,7.66E-41,Down
CITED2,-1.689877983,5.777548967,3.88E-43,1.19E-40,Down
PRH2,-3.259029434,-0.495805857,4.02E-43,1.21E-40,Down
MGAM,-3.60953201,3.916196081,4.07E-43,1.21E-40,Down
PPP1R1A,-3.984294744,3.060788806,5.23E-43,1.53E-40,Down
OTOP3,-4.948374328,2.422165562,2.06E-42,5.91E-40,Down
AQP11,-2.00833759,2.356130273,2.77E-42,7.83E-40,Down
IGJ,-3.691347434,9.414056324,3.26E-42,9.07E-40,Down
ECM1,-3.020254279,6.819411311,4.88E-42,1.34E-39,Down
CSTA,-4.600584622,6.734289362,6.00E-42,1.62E-39,Down
SPINK5,-4.419335248,6.755039728,1.11E-41,2.96E-39,Down
CSTB,-2.781169046,8.663273792,1.15E-41,3.02E-39,Down
CYP3A4,-4.681708645,4.148966396,1.43E-41,3.68E-39,Down
RNF222,-4.356153531,0.031960353,3.42E-41,8.68E-39,Down
ABCG2,-2.798918561,3.435730633,5.07E-41,1.27E-38,Down
HPCAL4,-3.211339667,-0.381350058,5.32E-41,1.31E-38,Down
GSN,-1.896816243,9.063000687,9.20E-41,2.24E-38,Down
C1orf177,-3.280711593,-0.321060491,9.43E-41,2.27E-38,Down
PTGR1,-1.94247181,5.459969331,1.55E-40,3.69E-38,Down
MAL,-4.930614667,6.379543272,2.45E-40,5.74E-38,Down
KCNE2,-4.973018576,0.519811635,6.60E-40,1.52E-37,Down
CIDEC,-3.68914315,3.21583,6.65E-40,1.52E-37,Down
MTHFD1L,1.933054751,4.985675109,1.48E-39,3.33E-37,Up
SLC25A4,-1.932063608,5.225330117,2.94E-39,6.54E-37,Down
GUCA2B,-4.463026808,0.582752248,8.50E-39,1.87E-36,Down
ALDOB,-4.351128188,7.772636755,8.92E-39,1.94E-36,Down
C16orf89,-3.483632365,3.19840546,1.02E-38,2.18E-36,Down
SLC46A1,-2.094326069,3.010133746,1.18E-38,2.48E-36,Down
IGFBP6,-2.393607524,4.618474025,1.18E-38,2.48E-36,Down
GPX3,-2.456008819,6.556912843,2.63E-38,5.45E-36,Down
ESM1,4.779577933,3.045271243,5.73E-38,1.17E-35,Up
SCARA5,-3.331216757,3.506120032,6.81E-38,1.38E-35,Down
TFAP2B,-4.727304334,-0.765807527,8.33E-38,1.67E-35,Down
RXRG,-3.211772906,-0.664130659,1.36E-37,2.69E-35,Down
ANKRD35,-2.600008615,2.112054579,3.06E-37,5.98E-35,Down
FABP2,-4.629204603,4.319107884,3.84E-37,7.42E-35,Down
CYP2D6,-2.606676206,1.838850298,6.95E-37,1.32E-34,Down
GSTM5,-2.681502791,2.260117875,6.95E-37,1.32E-34,Down
DERL3,-2.974547189,3.378509972,1.13E-36,2.12E-34,Down
ERICH4,-3.858614681,0.238591389,1.61E-36,2.99E-34,Down
AQP4,-4.68803525,0.763828735,1.81E-36,3.33E-34,Down
KCNA5,-3.076400154,1.272321416,3.60E-36,6.54E-34,Down
FXYD6,-2.502602465,3.314536769,4.06E-36,7.30E-34,Down
KAT2B,-1.566419855,4.927983438,1.50E-35,2.67E-33,Down
USP2,-2.441432973,2.481379618,2.10E-35,3.70E-33,Down
FAM180B,-3.494494049,-1.886414654,2.33E-35,4.07E-33,Down
LEAP2,-2.472874271,0.88219583,3.07E-35,5.30E-33,Down
HLF,-2.928941918,3.526914407,3.90E-35,6.67E-33,Down
ACY3,-2.66783506,4.587846451,4.51E-35,7.65E-33,Down
CKMT2,-2.691219077,1.479519296,5.30E-35,8.89E-33,Down
C11orf86,-4.02872654,3.201662142,6.18E-35,1.03E-32,Down
CAB39L,-2.055285372,4.331700579,8.12E-35,1.34E-32,Down
APOB,-4.809865844,7.148530705,8.21E-35,1.34E-32,Down
PRSS27,-3.808020393,3.580177894,1.22E-34,1.96E-32,Down
ALPI,-4.346613997,4.443416051,1.30E-34,2.06E-32,Down
DAB1,-3.113138012,1.589756174,1.32E-34,2.08E-32,Down
ABHD6,-1.37909236,3.920587522,1.62E-34,2.52E-32,Down
OTOP2,-3.944857955,-1.472488037,1.64E-34,2.54E-32,Down
PYGM,-3.027253654,2.635048979,1.93E-34,2.96E-32,Down
TMEM79,-2.190542403,3.350258467,3.49E-34,5.31E-32,Down
RNASE7,-5.001286255,1.62444015,3.80E-34,5.73E-32,Down
CREB3L3,-3.825805093,4.639136666,6.04E-34,9.04E-32,Down
SLC35G1,-1.919270642,3.792963992,6.47E-34,9.59E-32,Down
UGT1A7,-4.124646403,-0.014889699,7.21E-34,1.06E-31,Down
PTGDR2,-2.576323608,1.427199906,8.88E-34,1.29E-31,Down
ANXA1,-2.921855384,8.549640397,1.15E-33,1.67E-31,Down
CYP4F2,-3.870779325,3.016833021,1.28E-33,1.84E-31,Down
GNG7,-2.269141012,3.367859432,1.47E-33,2.10E-31,Down
TXNDC5,-2.106822365,2.733043953,2.12E-33,2.99E-31,Down
COL10A1,7.06101208,5.477934606,2.15E-33,3.01E-31,Up
ARC,-3.503373158,2.184040485,2.55E-33,3.54E-31,Down
VIT,-2.886082602,0.759840733,2.64E-33,3.64E-31,Down
LGI4,-2.245449832,2.291613492,2.75E-33,3.76E-31,Down
HSPA2,-2.323090928,4.535451246,2.92E-33,3.97E-31,Down
S100B,-2.382748073,2.175026734,3.16E-33,4.26E-31,Down
PLA2G2C,-2.865650263,0.042999362,4.20E-33,5.61E-31,Down
SPINK2,-3.297240686,-1.454432438,4.27E-33,5.67E-31,Down
HPSE2,-3.473619463,1.30086319,4.64E-33,6.11E-31,Down
ASB11,-3.748163887,-1.208550024,5.21E-33,6.82E-31,Down
WISP2,-3.070562147,1.668524388,6.25E-33,8.11E-31,Down
APOC3,-5.429715263,4.550065027,8.67E-33,1.12E-30,Down
CYSRT1,-3.497016146,3.24373693,8.72E-33,1.12E-30,Down
SULT1A1,-2.119034089,3.891970589,1.06E-32,1.35E-30,Down
TM6SF2,-3.258317613,2.168122655,1.38E-32,1.74E-30,Down
ECT2,2.456692071,6.740453919,1.66E-32,2.08E-30,Up
TMEM253,-2.815458634,-0.501170997,1.90E-32,2.36E-30,Down
PMM1,-1.396150081,3.787647737,1.99E-32,2.46E-30,Down
UGT1A4,-3.84935126,-2.794011836,2.10E-32,2.57E-30,Down
GFRA2,-2.532632191,0.79434639,2.22E-32,2.70E-30,Down
DHDH,-2.512177267,1.153099422,2.33E-32,2.82E-30,Down
ACE2,-3.295005166,3.041742291,2.74E-32,3.29E-30,Down
MTUS2,-3.062351561,0.631633898,3.19E-32,3.81E-30,Down
C4orf3,-1.190200141,6.423928429,4.82E-32,5.72E-30,Down
MYZAP,-2.029057252,1.526956476,6.68E-32,7.87E-30,Down
GCNT4,-2.567726037,3.628338364,8.37E-32,9.80E-30,Down
CEACAM20,-4.077291696,1.021728784,8.55E-32,9.95E-30,Down
PINK1,-1.353112342,4.303377805,9.76E-32,1.13E-29,Down
CLSPN,2.330441618,4.332530919,9.87E-32,1.13E-29,Up
SLC51B,-2.881804882,1.469555053,1.06E-31,1.21E-29,Down
KIF14,2.606885598,3.988100341,1.08E-31,1.23E-29,Up
DENND2C,-2.580692718,2.71039795,1.32E-31,1.49E-29,Down
ANKRD31,-2.349200498,-0.66097724,1.34E-31,1.50E-29,Down
PEBP4,-3.215552074,-0.931045712,1.76E-31,1.96E-29,Down
PLP1,-3.657702484,2.002498657,1.79E-31,1.97E-29,Down
TSPYL2,-1.672915146,4.368875374,2.51E-31,2.76E-29,Down
FGL2,-2.447105455,6.381888375,2.54E-31,2.77E-29,Down
