LncRNA_GeneSymbol,Location,,
ABCA9-AS1,Nucleus,,
ADARB2-AS1,Cytosol,,
ATP1B3-AS1,Nucleus,,
C14orf132,Exosome,,
C6orf123,Nucleus,,
DIAPH3-AS1,Cytoplasm,,
ERVMER61-1,Cytoplasm,,
H19,Nucleus,,
IGF2-AS,Cytosol,,
KCNA3,Cytoplasm,,
KCNQ1OT1,Nucleus,,
LINC00086,Cytosol,,
LINC00087,Exosome,,
LINC00114,Cytoplasm,,
LINC00462,Cytoplasm,,
LINC00486,Cytoplasm,,
LINC00501,Cytoplasm,,
LMO7-AS1,Cytoplasm,,
LSAMP-AS1,Cytoplasm,,
MIR205HG,Cytoplasm,,
MRVI1-AS1,Cytoplasm,,
PART1,Cytoplasm,,
RBMS3-AS3,Cytoplasm,,
SHANK2-AS1,Cytosol,,
SOX21-AS1,Cytosol,,
UCA1,Nucleus,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
