source,targert
DIAPH3-AS1,hsa-miR-216a
DIAPH3-AS1,hsa-miR-182
DIAPH3-AS1,hsa-miR-96
DIAPH3-AS1,hsa-miR-210
ERVMER61-1,hsa-miR-182
ERVMER61-1,hsa-miR-205
ERVMER61-1,hsa-miR-96
ERVMER61-1,hsa-miR-204
ERVMER61-1,hsa-miR-21
KCNA3,hsa-miR-217
KCNA3,hsa-miR-195
KCNA3,hsa-miR-210
KCNA3,hsa-miR-141
KCNA3,hsa-miR-503
KCNA3,hsa-miR-122
KCNA3,hsa-miR-200a
KCNA3,hsa-miR-21
KCNA3,hsa-miR-143
KCNA3,hsa-miR-204
KCNA3,hsa-miR-183
LINC00114,hsa-miR-508
LINC00114,hsa-miR-96
LINC00114,hsa-miR-143
LINC00114,hsa-miR-363
LINC00114,hsa-miR-182
LINC00114,hsa-miR-143
LINC00114,hsa-miR-204
LINC00114,hsa-miR-216a
LINC00462,hsa-miR-363
LINC00462,hsa-miR-17
LINC00462,hsa-miR-372
LINC00462,hsa-miR-93
LINC00462,hsa-miR-93
LINC00486,hsa-miR-145
LINC00486,hsa-miR-204
LINC00486,hsa-miR-182
LINC00486,hsa-miR-122
LINC00486,hsa-miR-187
LINC00486,hsa-miR-96
LINC00486,hsa-miR-182
LINC00486,hsa-miR-145
LINC00486,hsa-miR-96
LINC00486,hsa-miR-222
LINC00501,hsa-miR-301b
LINC00501,hsa-miR-183
LINC00501,hsa-miR-363
LINC00501,hsa-miR-301b
LINC00501,hsa-miR-204
LMO7-AS1,hsa-miR-372
LMO7-AS1,hsa-miR-145
LMO7-AS1,hsa-miR-122
LMO7-AS1,hsa-miR-93
LMO7-AS1,hsa-miR-17
LMO7-AS1,hsa-miR-93
LMO7-AS1,hsa-miR-204
LSAMP-AS1,hsa-miR-183
MIR205HG,hsa-miR-145
MIR205HG,hsa-miR-222
MIR205HG,hsa-miR-143
MIR205HG,hsa-miR-204
MIR205HG,hsa-miR-183
MIR205HG,hsa-miR-301b
MIR205HG,hsa-miR-145
MIR205HG,hsa-miR-122
MIR205HG,hsa-miR-205
MRVI1-AS1,hsa-miR-183
MRVI1-AS1,hsa-miR-222
MRVI1-AS1,hsa-miR-205
PART1,hsa-miR-100
PART1,hsa-miR-143
PART1,hsa-miR-204
PART1,hsa-miR-21
PART1,hsa-miR-143
PART1,hsa-miR-122
PART1,hsa-miR-363
PART1,hsa-miR-200a
PART1,hsa-miR-143
PART1,hsa-miR-122
PART1,hsa-miR-195
PART1,hsa-miR-508
PART1,hsa-miR-145
PART1,hsa-miR-187
PART1,hsa-miR-141
PART1,hsa-miR-145
PART1,hsa-miR-301b
PART1,hsa-miR-205
RBMS3-AS3,hsa-miR-204
RBMS3-AS3,hsa-miR-182
RBMS3-AS3,hsa-miR-96
hsa-miR-217,AFF3
hsa-miR-217,ANLN
hsa-miR-217,E2F3
hsa-miR-217,EZH2
hsa-miR-217,FRMD5
hsa-miR-217,NOVA1
hsa-miR-217,PROX1
hsa-miR-217,RUNX1
hsa-miR-217,SOX11
