node,attr
DIAPH3-AS1,lncRNA
ERVMER61-1,lncRNA
KCNA3,lncRNA
LINC00114,lncRNA
LINC00462,lncRNA
LINC00486,lncRNA
LINC00501,lncRNA
LMO7-AS1,lncRNA
LSAMP-AS1,lncRNA
MIR205HG,lncRNA
MRVI1-AS1,lncRNA
PART1,lncRNA
RBMS3-AS3,lncRNA
hsa-miR-216a,miRNA
hsa-miR-182,miRNA
hsa-miR-96,miRNA
hsa-miR-210,miRNA
hsa-miR-205,miRNA
hsa-miR-204,miRNA
hsa-miR-21,miRNA
hsa-miR-217,miRNA
hsa-miR-195,miRNA
hsa-miR-141,miRNA
hsa-miR-503,miRNA
hsa-miR-122,miRNA
hsa-miR-200a,miRNA
hsa-miR-143,miRNA
hsa-miR-183,miRNA
hsa-miR-508,miRNA
hsa-miR-363,miRNA
hsa-miR-17,miRNA
hsa-miR-372,miRNA
hsa-miR-93,miRNA
hsa-miR-145,miRNA
hsa-miR-187,miRNA
hsa-miR-222,miRNA
hsa-miR-301b,miRNA
hsa-miR-100,miRNA
AFF3,mRNA
ANLN,mRNA
E2F3,mRNA
EZH2,mRNA
FRMD5,mRNA
NOVA1,mRNA
PROX1,mRNA
RUNX1,mRNA
SOX11,mRNA
